code;bloc_code;texte_fr;answer_type;poids;criticality;TPE_coteur_A;TPE_coteur_B;TPE_ecart;GC_coteur_A;GC_coteur_B;GC_ecart;ancre_a_revoir
Q-B1-015;bloc_1;Avant d'engager le dernier projet IA, quelles solutions sans IA ont été comparées ?;scale_1_5;1;important;;;;;;;
Q-B2-001;bloc_2;Pouvons-nous relever, processus par processus, ceux qui font tourner l'activité au quotidien ?;table;0;informatif;;;;;;;
Q-B2-002;bloc_2;Entre la procédure écrite et la façon dont le travail se fait réellement, où se trouve l'écart ?;scale_1_5;2;important;;;;;;;
Q-B2-003;bloc_2;Pour les processus retenus, quels volumes traitent-ils, à quelle fréquence, et pour quel coût ?;table;0;informatif;;;;;;;
Q-B2-004;bloc_2;Dans ce processus, à quel moment une personne tranche, et quelle marge a-t-elle réellement ?;scale_1_5;2;important;;;;;;;
Q-B2-005;bloc_2;Entre deux outils du processus, qu'est-ce qui passe encore par une ressaisie ou un export manuel ?;scale_1_5;2;important;;;;;;;
Q-B2-006;bloc_2;Quels outils d'IA les équipes utilisent-elles aujourd'hui sans que la direction informatique les ait validés ?;single_choice;3;bloquant;;;;;;;
Q-B2-007;bloc_2;Quels processus produisent une décision qui affecte directement une personne ?;table;0;informatif;;;;;;;
Q-B2-008;bloc_2;Pour une décision prise il y a six mois dans ce processus, peut-on dire aujourd'hui qui l'a prise et sur quelle base ?;scale_1_5;2;important;;;;;;;
Q-B2-009;bloc_2;Comment mesure-t-on aujourd'hui la performance de ce processus, avant toute introduction d'IA ?;scale_1_5;2;important;;;;;;;
Q-B3-001;bloc_3;Quel est le niveau de tenue de l'inventaire des données de l'entreprise ?;scale_1_5;3;bloquant;;;;;;;
Q-B3-002;bloc_3;Pouvez-vous relever, jeu de données par jeu de données, ceux qui alimentent aujourd'hui un outil d'IA ?;table;0;informatif;;;;;;;
Q-B3-003;bloc_3;Quels prestataires ou services externes reçoivent des données de l'entreprise, et où ces données sont-elles hébergées ?;table;0;informatif;;;;;;;
Q-B3-004;bloc_3;Quelle durée de conservation est définie pour chaque jeu de données personnelles identifié ?;table;0;informatif;;;;;;;
Q-B3-005;bloc_3;Quel est le niveau de maîtrise de la qualité des données utilisées par les outils d'IA ?;scale_1_5;2;important;;;;;;;
Q-B3-006;bloc_3;Quel est le niveau d'application effective des durées de conservation des données ?;scale_1_5;3;bloquant;;;;;;;
Q-B3-007;bloc_3;Comment une demande d'accès ou d'effacement émanant d'une personne est-elle traitée de bout en bout ?;scale_1_5;3;bloquant;;;;;;;
Q-B3-008;bloc_3;Quel est le niveau d'information effectivement délivrée aux personnes dont les données alimentent un outil d'IA ?;scale_1_5;2;important;;;;;;;
Q-B3-009;bloc_3;Quel est le niveau de sélection des données réellement nécessaires avant leur versement dans un outil d'IA ?;scale_1_5;2;important;;;;;;;
Q-B3-010;bloc_3;Des données collectées pour une autre finalité ont-elles été versées dans un outil d'IA sans examen écrit de compatibilité ?;yes_no;3;bloquant;;;;;;;
Q-B3-011;bloc_3;Que prévoit le contrat des services d'IA utilisés quant à la réutilisation des données saisies pour entraîner les modèles ?;single_choice;3;bloquant;;;;;;;
Q-B3-012;bloc_3;Quel est le niveau de maîtrise des techniques d'anonymisation et de pseudonymisation employées ?;scale_1_5;2;important;;;;;;;
Q-B3-013;bloc_3;Quel est le niveau de prise en compte de la protection des données AVANT la mise en service d'un outil d'IA ?;scale_1_5;2;important;;;;;;;
Q-B3-014;bloc_3;Des données de production ont-elles été copiées dans un environnement de test ou dans un outil d'IA d'essai au cours des 12 derniers mois sans être anonymisées ?;yes_no;1;important;;;;;;;
Q-B3-015;bloc_3;Parmi les traitements qui alimentent un outil d'IA, lesquels sont susceptibles d'engendrer un risque élevé pour les personnes ?;table;0;informatif;;;;;;;
Q-B4-001;bloc_4;Pour le dernier outil d'IA mis en service, ce qu'il devait faire avait-il été écrit avant de le construire ou de l'acheter ?;scale_1_5;2;important;;;;;;;
Q-B4-002;bloc_4;Avant la mise en service du dernier système d'IA, quels essais ont été passés et sur quels critères d'acceptation ?;scale_1_5;2;important;;;;;;;
Q-B4-003;bloc_4;Quels outils, cadres et plateformes d'IA sont aujourd'hui en service dans l'organisation ?;table;0;informatif;;;;;;;
Q-B4-004;bloc_4;Quelle version de chaque système d'IA tourne aujourd'hui, depuis quand, et qu'est-ce qui a changé ?;table;0;informatif;;;;;;;
Q-B4-005;bloc_4;À quelle date le moyen d'arrêter le système d'IA a-t-il été actionné pour de vrai la dernière fois ?;date;0;important;;;;;;;
Q-B4-006;bloc_4;Face à une sortie du système contestée par un client ou par un salarié, que sait-on dire aujourd'hui sur les raisons de cette sortie ?;scale_1_5;2;important;;;;;;;
Q-B4-007;bloc_4;Comment un incident causé par un outil d'IA est-il aujourd'hui signalé, enregistré et clos ?;scale_1_5;2;important;;;;;;;
Q-B4-008;bloc_4;Si une violation de données personnelles était constatée demain matin, qui la notifierait, à qui, et dans quel délai ?;scale_1_5;3;bloquant;;;;;;;
Q-B4-009;bloc_4;Que fait le service si l'outil d'IA devient indisponible une journée entière ?;scale_1_5;2;important;;;;;;;
Q-B4-010;bloc_4;Qui a accès aux modèles, aux données d'entraînement et aux interfaces de programmation, et quand cette liste a-t-elle été revue pour la dernière fois ?;scale_1_5;3;bloquant;;;;;;;
Q-B4-011;bloc_4;Les données confiées aux outils d'IA sont-elles chiffrées au repos et en transit, y compris vers les services d'IA externes ?;single_choice;3;bloquant;;;;;;;
Q-B4-012;bloc_4;Des clés d'accès à des services d'IA sont-elles aujourd'hui présentes en clair dans du code, des fichiers partagés ou des messageries ?;yes_no;3;bloquant;;;;;;;
Q-B4-013;bloc_4;Avant d'intégrer un modèle pré-entraîné ou une bibliothèque d'IA, qu'est-ce qui est vérifié et par qui ?;scale_1_5;2;important;;;;;;;
Q-B4-014;bloc_4;Pour une sortie produite il y a trois mois, peut-on retrouver les données qui l'ont produite ?;scale_1_5;2;important;;;;;;;
Q-B4-015;bloc_4;La consommation liée aux usages d'IA est-elle mesurée, estimée, ou pas suivie du tout ?;scale_1_5;1;informatif;;;;;;;
Q-B5-001;bloc_5;Quelles mesures l'entreprise a-t-elle prises pour que les personnes qui emploient l'IA comprennent ce qu'elles emploient ?;single_choice;3;bloquant;;;;;;;
Q-B5-002;bloc_5;Quelles compétences l'entreprise estime-t-elle devoir détenir pour ses usages d'IA, et lesquelles lui manquent ?;scale_1_5;2;important;;;;;;;
Q-B5-003;bloc_5;Quelle part des personnes concernées par un usage d'IA a effectivement suivi la formation prévue ?;percent;2;important;;;;;;;
Q-B5-004;bloc_5;Que peut vous dire un utilisateur sur ce que son outil d'IA fait mal ou ne sait pas faire ?;scale_1_5;2;important;;;;;;;
Q-B5-005;bloc_5;La personne chargée de superviser le système a-t-elle le temps, l'information et le mandat d'aller contre lui ?;scale_1_5;2;important;;;;;;;
Q-B5-006;bloc_5;Qui travaille sur l'IA dans l'entreprise, à quel taux, et sur quel rôle ?;table;0;informatif;;;;;;;
Q-B5-007;bloc_5;Par quel chemin un salarié peut-il signaler un problème lié à l'IA sans passer par son supérieur direct ?;single_choice;1;important;;;;;;;
Q-B5-008;bloc_5;Quelles règles écrites encadrent l'usage des outils d'IA générative par les salariés ?;single_choice;2;important;;;;;;;
Q-B5-009;bloc_5;Qu'est-ce qui vérifie aujourd'hui que ces règles d'usage sont suivies ?;scale_1_5;2;important;;;;;;;
Q-B5-010;bloc_5;Que devient une remarque d'utilisateur sur le comportement d'un outil d'IA ?;scale_1_5;1;important;;;;;;;
Q-B5-011;bloc_5;Qu'est-ce que l'entreprise a examiné des conséquences de ses usages d'IA sur les postes et les métiers ?;scale_1_5;1;important;;;;;;;
Q-B6-001;bloc_6;Quels cas d'usage d'IA sont aujourd'hui envisagés, en essai ou en production dans l'entreprise ?;table;0;informatif;;;;;;;
Q-B6-002;bloc_6;Pour ce cas d'usage, qu'est-ce que l'outil doit faire, et qu'est-ce qu'il ne doit surtout pas faire ?;scale_1_5;2;important;;;;;;;
Q-B6-003;bloc_6;Qu'attendait-on de ce cas d'usage, écrit avant de le lancer, et où en est-on par rapport à cela ?;scale_1_5;2;important;;;;;;;
Q-B6-004;bloc_6;Au moment où les bénéfices de ce cas d'usage ont été écrits, qu'a-t-on écrit de ses coûts et de ses risques ?;scale_1_5;2;important;;;;;;;
Q-B6-005;bloc_6;Que fait exactement cet outil — classer, prédire, générer, recommander — et que ne peut-il pas savoir ?;scale_1_5;2;important;;;;;;;
Q-B6-006;bloc_6;Quels projets d'IA ont été arrêtés ou abandonnés, et pour quelle raison ?;table;0;informatif;;;;;;;
Q-B7-001;bloc_7;Sur quels critères l'entreprise décide-t-elle de conduire un chantier d'IA avant un autre ?;scale_1_5;2;important;;;;;;;
Q-B7-002;bloc_7;Comment les risques liés à l'IA sont-ils classés entre eux, et selon quelle méthode ?;scale_1_5;2;important;;;;;;;
Q-B7-003;bloc_7;Pour les risques identifiés, qu'a-t-on décidé d'éviter, de réduire, de transférer ou d'accepter, et qui l'a signé ?;single_choice;2;important;;;;;;;
Q-B7-004;bloc_7;Pour les trois risques de tête, quelle réponse concrète a été engagée et par qui ?;scale_1_5;2;important;;;;;;;
Q-B7-005;bloc_7;À quelles conditions l'entreprise arrêterait-elle un système d'IA qui n'atteint pas son but ?;scale_1_5;2;important;;;;;;;
Q-B7-006;bloc_7;Les échéances du règlement européen sur l'IA pèsent-elles dans l'ordre des chantiers, et lesquelles ?;scale_1_5;2;important;;;;;;;
Q-B7-007;bloc_7;Pour les chantiers retenus, quelle charge représentent-ils, dans quel ordre doivent-ils s'enchaîner, et combien l'entreprise peut-elle en mener de front ?;table;0;informatif;;;;;;;
Q-B8-001;bloc_8;Existe-t-il une feuille de route IA écrite, avec des jalons, des livrables et un responsable par étape ?;scale_1_5;2;important;;;;;;;
Q-B8-002;bloc_8;Qu'est-ce qui est mesuré pour dire que la démarche IA avance, et quand a-t-on vérifié qu'on mesurait la bonne chose ?;scale_1_5;2;important;;;;;;;
Q-B8-003;bloc_8;Avant de mettre en service un système d'IA touchant des personnes, qu'a-t-on écrit de ses effets sur elles ?;scale_1_5;3;bloquant;;;;;;;
Q-B8-004;bloc_8;Quand un écart est constaté sur un usage d'IA, qu'est-ce qui garantit qu'il est corrigé et non seulement signalé ?;scale_1_5;2;important;;;;;;;
Q-B8-005;bloc_8;À quelle échéance la direction réexamine-t-elle l'ensemble du dispositif IA, et qu'a produit le dernier réexamen ?;scale_1_5;2;important;;;;;;;
Q-B8-006;bloc_8;Quelles règles s'appliquent avant de faire entrer un nouveau fournisseur d'IA dans l'entreprise ?;single_choice;2;important;;;;;;;
Q-B8-007;bloc_8;Entre l'éditeur du modèle, l'intégrateur et l'entreprise, qui répond de quoi si le système produit un dommage ?;scale_1_5;2;important;;;;;;;
Q-B8-008;bloc_8;Quand un système d'IA est mis hors service, que deviennent ses données, ses modèles et ses journaux ?;scale_1_5;1;important;;;;;;;
Q-B8-009;bloc_8;Comment une remarque venue d'un client ou d'une personne affectée par un système d'IA remonte-t-elle jusqu'à ceux qui décident ?;scale_1_5;1;important;;;;;;;
Q-B8-010;bloc_8;L'entreprise a-t-elle désigné un délégué à la protection des données, et a-t-il été associé aux projets d'IA ?;single_choice;2;important;;;;;;;
Q-B9-001;bloc_9;Pouvons-nous relever, système par système, la liste des systèmes d'IA utilisés ou fournis par l'entreprise ?;table;0;informatif;;;;;;;
Q-B9-002;bloc_9;À quelle date le registre des systèmes d'IA a-t-il été mis à jour pour la dernière fois ?;date;0;informatif;;;;;;;
Q-B9-003;bloc_9;Quel est le niveau de tenue du registre des systèmes d'IA ?;scale_1_5;2;important;;;;;;;
Q-B9-004;bloc_9;Quelle part des systèmes d'IA inventoriés porte par écrit le rôle de l'entreprise au sens de l'AI Act ?;percent;2;important;;;;;;;
Q-B9-005;bloc_9;Comment l'entreprise vérifie-t-elle qu'elle n'est pas devenue fournisseur d'un système qu'elle exploite ?;single_choice;2;important;;;;;;;
Q-B9-006;bloc_9;Quelle part des systèmes d'IA inventoriés porte un classement de risque écrit et daté ?;percent;2;important;;;;;;;
Q-B9-007;bloc_9;Un examen a-t-il été conduit pour vérifier qu'aucun système utilisé ne relève des pratiques interdites ?;yes_no;3;bloquant;;;;;;;
Q-B9-008;bloc_9;Les personnes qui échangent avec un système d'IA de l'entreprise sont-elles informées qu'elles parlent à une machine ?;single_choice;3;bloquant;;;;;;;
Q-B9-009;bloc_9;Quel est le niveau de clarté et d'accessibilité des informations de transparence données aux personnes ?;scale_1_5;2;important;;;;;;;
Q-B9-010;bloc_9;Une décision produisant des effets sur une personne peut-elle être prise sans intervention humaine ?;single_choice;3;bloquant;;;;;;;
Q-B9-011;bloc_9;Quel est le niveau de connaissance de l'exposition de l'entreprise aux sanctions de l'AI Act ?;scale_1_5;1;informatif;;;;;;;
Q-B9-012;bloc_9;Quel est le niveau de préparation aux obligations qui pèseront sur le déployeur d'un système à haut risque ?;scale_1_5;2;important;;;;;;;
