code;TPE_note;TPE_fondement;GC_note;GC_fondement;ancre_a_revoir
Q-B1-011;1;Personne consulté hors de l'équipe;4;DPD consulté (AIPD du 09/01/2026, 4 mesures dont 2 appliquées) et CSE informé - mais 4 projets sur 6 sans saisine;L'ancre 5 se satisfait d'une seule consultation - la couverture partielle (2 projets sur 6) n'est pas pondérée
Q-B1-012;1;AI Act inconnu - sujet renvoyé à l'éditeur - ancre 1 mot pour mot;4;Classements écrits d'avril 2026 par la direction juridique (moins de 18 mois) mais couvrant 11 systèmes sur 23 et muets sur 2026/1744;Couverture partielle du rattachement écrit non prévue par l'ancre 5
Q-B1-013;tri - déployeur sans marque ni modification. Assistant du site sous marque de l'entreprise - bascule fournisseur à qualifier;Faits relevés en séances 2 et 3;19 rôles écrits sur 23 - assistant documentaire affiné et diffusé sous marque groupe - bascule à qualifier;Registre et faits de la section 9;
Q-B1-014;2;Signalement de biais (fév 2026) remonté en réunion - aucune suite, aucune réponse, aucune trace;4;3 tickets IA tracés dont 2 clos - retour à l'auteur non démontré, 1 ticket dormant depuis le 14/07/2026;TPE entre 1 et 3 - remonté mais jamais réglé. GC - le retour au signalant (3e condition de l'ancre 5) est invérifiable
Q-B1-015;1;Aucune alternative sans IA examinée;1;Aucune comparaison d'options au dossier pour le dernier projet engagé;
Q-B2-001;relevé partiel - sourcing, tri, présentation, administration;Processus observés en séance 2;planification, présélection RH, documentation - relevé limité au périmètre visité;4 agences sur 134 - couverture faible notée telle quelle;
Q-B2-002;1;Aucune procédure écrite au dossier;3;Note du 11/04/2026 en vigueur mais contournements courants (4 techniciens sur 6) écrits nulle part;La question suppose UN processus choisi - la note dépend du processus retenu
Q-B2-003;volumes et coûts non chiffrés - seul le délai de 12 jours est cité;Support de voeux du 09/01/2026;1100 techniciens planifiés - volumes et coûts non relevés en séance;Relevé impossible à compléter;
Q-B2-004;2;Les consultants peuvent aller contre le tri mais aucun cas citable - rien ouvert sous 50 - le discours contredit par l'observation;4;7 modifications datées du 01/09 constatées à l'écran - motif conservé non vérifié - une agence sur 4 ne touche plus;TPE - marge théorique jamais exercée, entre ancre 1 (jamais rien refusé) et 3. GC - le motif conservé manque à l'ancre 5
Q-B2-005;1;Copier-coller de CV et repli mail-tableur constatés - ruptures jamais comptées;NC;Le dossier ne documente pas les passages entre outils;Frontière NC-1 floue quand le dossier est muet - traitée différemment sur les deux cas, à trancher
Q-B2-006;usages_non_encadres;Usages grand public connus (annonces) et constatés (CV, comptes rendus) - rien ne les encadre - DRAPEAU ROUGE;regles_sans_verification;Note du 11/04/2026 et filtrage réseau partiel (2 sur 3) - aucun recensement jamais conduit sur nomades et téléphones;Le filtrage réseau permanent vaut-il vérification - l'option 3 parle de vérification datée
Q-B2-007;tri de candidatures - écarte de fait les candidats sous 50;Constat de la séance 2;présélection RH (rejet automatique sous 35) et planification (affectation de 1100 techniciens);Séances 3 et 4;
Q-B2-008;3;Date et utilisateur retrouvés mais pas le score de l'époque - on sait qui a validé sans savoir sur quoi;5;Remontée faite devant l'auditeur en 22 minutes - horodatage, utilisateur et paramètres d'entrée;GC - paramètres d'entrée assimilés au motif exigé par l'ancre 5
Q-B2-009;3;Délai de 12 jours écrit (09/01/2026, moins de 12 mois) mais aucun relevé à échéance fixe;NC;Aucun indicateur de performance avant IA au dossier;TPE entre 3 et 5 - valeur écrite récente sans échéance fixe, aucune ancre exacte
Q-B3-001;3;Registre du 12/06/2024 incomplet (module de tri absent) et non mis à jour depuis plus de 12 mois;4;Registre RGPD revu le 30/06/2026 et ayant servi (purge) mais propriétaire par jeu non vérifié et assistant documentaire mal décrit;GC entre 3 et 5 - à jour et utilisé mais complétude douteuse
Q-B3-002;CV et candidatures vers le module de tri - CV copiés dans un assistant grand public;Constats des séances 2 et 3;40 000 documents techniques vers le modèle affiné - base candidats vers la présélection;Séances 2 et 3;
Q-B3-003;éditeur SaaS hébergé en Irlande (contrat du 04/02/2025) - assistant grand public sur comptes personnels - prestataire de l'assistant du site;Contrat et constats;hébergeur du modèle affiné hors UE - prestataires de l'assistant public et de la présélection;Section 9 du dossier;
Q-B3-004;registre 2024 sans le module de tri - aucune purge jamais exécutée;Cases vides relevées telles quelles;durées au registre - dernière purge base candidats le 15/02/2026 avec journal;Journal de purge produit;
Q-B3-005;1;Aucune mesure de qualité;1;Aucune mesure de qualité des données au dossier;GC coté 1 sur un silence du dossier - NC défendable
Q-B3-006;1;Aucune durée appliquée, aucune purge jamais exécutée - DRAPEAU ROUGE;5;Durées écrites, purge du 15/02/2026 (moins de 12 mois), fonction exécutante au journal;
Q-B3-007;1;Aucun circuit, personne ne sait qui traite - DRAPEAU ROUGE;5;Dernière demande déroulée devant l'auditeur - 31 demandes, délai moyen 19 jours (sous un mois);GC - un dépassement isolé à 38 jours tracé - l'ancre 5 ne dit pas s'il dégrade
Q-B3-008;2;Mentions candidats révisées le 20/08/2025 (après la mise en service) mais muettes sur tout traitement automatisé;NC;Support d'information aux candidats non produit ni examiné;L'ancre 5 est littéralement satisfaite par une révision postérieure qui ne dit rien de l'IA - ancre à réécrire sur le contenu
Q-B3-009;1;CV versés tels quels, aucun retrait;1;40 000 documents versés à l'affinage sans trace d'examen ni de retrait;
Q-B3-010;oui;CV de candidats versés dans un assistant grand public sans aucun examen écrit - DRAPEAU ROUGE;oui;Documents techniques réutilisés pour affiner un modèle sans examen écrit de compatibilité - DRAPEAU ROUGE;La notion d'autre finalité est discutable côté TPE (même finalité recrutement) - coté oui sur l'absence d'examen écrit
Q-B3-011;non_verifie;Clause 11.4 lue seulement en séance avec l'auditeur - option d'entraînement jamais vérifiée - DRAPEAU ROUGE;NC;Clauses de réutilisation des services d'IA non examinées en séance;Une clause lue PENDANT l'audit vaut-elle -lue- - retenu non car l'entreprise ne l'avait jamais lue
Q-B3-012;1;Aucune technique employée;NC;Techniques d'anonymisation non examinées au dossier;
Q-B3-013;1;Assistant du site mis en service en juillet 2026 sans aucun examen;5;AIPD du 09/01/2026 antérieure à la mise en service de février 2026 - 2 mesures appliquées;GC - la mesure clé (rejet automatique) non appliquée - l'ancre 5 se contente d'un réglage modifié
Q-B3-014;oui;CV réels collés dans un assistant grand public gratuit dans les 12 derniers mois sans anonymisation;NC;Rien au dossier sur les environnements de test;L'usage sauvage d'un outil grand public est-il un -outil d'essai- - coté oui
Q-B3-015;tri de candidatures - évaluation automatisée de candidats - examen art 35 jamais conduit - zéro ligne;Mention explicite de l'absence d'examen;présélection (AIPD faite) - planification (AIPD en suspens) - documentaire (aucun examen);Séance 3;
Q-B4-001;1;Aucun document de spécification du module de tri;1;Dernier outil (présélection, fév 2026) sans besoin écrit du groupe - seule une recette éditeur non rejouée;La règle du -dernier outil- écrase GC - l'avant-dernier (planification) aurait 5 sur son cahier de recette
Q-B4-002;1;Mise en service de mars 2025 sans essai formalisé ni compte rendu;2;Recette de l'éditeur fournie mais non rejouée par le groupe pour la présélection;L'essai du fournisseur non rejoué n'est prévu par aucune ancre - coté 2
Q-B4-003;module de tri (SaaS UE) - assistant du site (prestataire) - assistant grand public non validé;Relevé de séance;23 systèmes au registre - 4 décrits en séance;Registre du 11/07/2026;
Q-B4-004;versions inconnues - SaaS - cellules vides;Personne ne sait dire la version;versions non détaillées en séance - registre d'actifs existant;Cellules laissées vides;
Q-B4-005;date vide - aucun moyen d'arrêt montré ni jamais actionné;Signalé au rapport;date vide - jamais actionné délibérément, la panne du 12/05/2026 est subie;Signalé au rapport;
Q-B4-006;1;Contestation interne de fév 2026 - rien su dire, score opaque (modèle propriétaire);4;Réponse écrite du 27/03/2026 au donneur d'ordre mais décrivant le fonctionnement général, pas la sortie en cause;GC - une explication générale remise vaut-elle -explication- au sens de l'ancre 5 - coté 4
Q-B4-007;1;Aucun circuit - le signalement de fév 2026 s'est perdu;5;3 tickets IA sur 12 mois dans le circuit groupe dont 2 clos et tracés;
Q-B4-008;1;Aucun circuit, aucun responsable, pas de DPD - DRAPEAU ROUGE;5;Notification réelle du 07/11/2025 (moins de 24 mois) - circuit écrit, délai tenu, dossier produit;TPE - question non posée telle quelle au dossier - 1 déduit de l'absence générale, NC défendable
Q-B4-009;3;Panne d'avril 2026 surmontée en improvisant - rien d'écrit avant ni après;5;Procédure écrite appliquée le 12/05/2026 avec retour d'expérience écrit;TPE - repli pratiqué mais jamais écrit - cas inverse de l'ancre 3 (écrit jamais pratiqué) - coté 3 par symétrie, à prévoir
Q-B4-010;1;Aucune liste de comptes - accès réputé identique pour tous, non vérifié - DRAPEAU ROUGE;5;Revue du 28/05/2026 avec 3 retraits constatés dont 2 partants;
Q-B4-011;transit;Rien vérifié à l'écran - la consigne impose -en transit seulement- pour tout flux non vérifié;transit;Partage réseau des documents source non chiffré (reconnu en séance) - le stockage d'appoint compte comme repos;TPE obtient 3 sans avoir rien montré - la règle -non vérifié = transit- est généreuse. GC - un seul repos non chiffré fait tout basculer
Q-B4-012;oui;Fichier -acces divers- avec identifiants de 6 services, partagé à toute l'équipe (17/04/2026) - DRAPEAU ROUGE;oui;Clé d'un service d'IA externe valide, en clair dans les carnets, jamais renouvelée depuis août 2024 - DRAPEAU ROUGE;TPE - des identifiants de services en ligne sont-ils des -clés d'accès à des services d'IA- - coté oui
Q-B4-013;1;Rien vérifié avant l'intégration des outils;1;Aucune trace de vérification amont du modèle affiné (provenance, licence);GC coté 1 sur le silence du dossier - NC défendable
Q-B4-014;2;Remontée tentée et échouée - le score de l'époque est recalculé, non conservé;5;Remontée en 22 minutes devant l'auditeur sur la planification;TPE - tentative échouée absente des ancres (entre 1 et 3). GC - échec sur l'assistant documentaire non pondéré, l'ancre juge une seule démonstration
Q-B4-015;1;Aucun suivi - le sujet fait sourire;1;Aucune mesure ni estimation;
Q-B5-001;aucune;Aucune mesure de compréhension - la prise en main éditeur (11/03/2025) portait sur l'usage, pas les limites - DRAPEAU ROUGE;mesures_suivies;Module depuis le 02/03/2026 obligatoire pour les 210 utilisateurs et session comité exécutif du 19/06/2026 - moins de 18 mois;TPE - la session du 11/03/2025 est à 9 jours de la borne des 18 mois si on la compte. GC - 4 planificateurs sur 4 non touchés, l'option ne pondère pas la couverture réelle
Q-B5-002;1;Aucun examen des compétences;4;Référentiel écrit d'avril 2026 (6 rôles) mais écart avec l'existant non mesuré;GC entre 3 (pas d'écrit) et 5 (écart identifié) - coté 4
Q-B5-003;86;6 présents sur 7 concernés à la seule formation prévue (prise en main du 11/03/2025, moins de 24 mois, outil non remplacé);85;178 formés sur 210 utilisateurs identifiés (module obligatoire);TPE - 86 pour cent donne un 5 à une entreprise sans aucune formation IA réelle - la nature de la -formation prévue- fait tout. GC - le dénominateur déclaré exclut des utilisateurs constatés (planificateurs)
Q-B5-004;3;Un utilisateur cite un mode d'échec propre (mêmes profils, biais d'âge) mais la pratique tient les scores pour exacts;3;Les planificateurs corrigent l'outil chaque jour sans savoir sur quels critères il ordonne;La note dépend de l'utilisateur choisi (TPE) - et corriger sans comprendre n'entre dans aucune ancre (GC)
Q-B5-005;1;Personne n'est désignée pour superviser;3;Planificateurs désignés et modifiant réellement mais mandat écrit absent (fiche de poste sans citer l'outil) - une agence craint des représailles;GC - cas datés réels mais sans mandat écrit - les conditions de l'ancre 5 se croisent mal, coté 3
Q-B5-006;direction en pilotage partiel - prestataire informatique externe sans mention IA au contrat;Relevé en fonctions;comité IA (5 fonctions) - DPD à temps plein - direction juridique - DSI;Relevé en fonctions;
Q-B5-007;aucun;Aucun chemin hors hiérarchie;connu_et_couvrant;Outil de tickets groupe avec catégorie IA, utilisé (3 tickets sur 12 mois);Le circuit de tickets est-il un canal -sans passer par son supérieur- - retenu oui
Q-B5-008;aucune;Aucune règle écrite, aucune charte;regles_connues;Note du 11/04/2026 diffusée à tous - citée de mémoire par 2 techniciens utilisateurs sur 4;Connaissance partielle (2 sur 4) - aucune option entre -aucun ne connaît- et -citées de mémoire-
Q-B5-009;1;Aucune règle donc aucun contrôle;2;Aucun contrôle organisé - le filtrage réseau permanent est partiel et jamais exploité, aucun écart relevé;TPE - sans règle du tout, 1 ou NA - retenu 1. GC - le filtrage est-il un contrôle - entre 1 et 3
Q-B5-010;2;Remarque de fév 2026 exprimée en réunion puis perdue sans réponse;3;Des remontées existent (tickets, chef d'agence) mais aucune modification d'outil n'en est jamais sortie;TPE - exprimée en réunion - remontée ou perdue, entre 1 et 3
Q-B5-011;1;Sujet jamais ouvert;4;Note écrite du 20/05/2026 sur 3 métiers mais sans association des représentants du personnel ni mesure d'accompagnement;GC - examen écrit sans RP - l'ancre 3 suppose l'absence d'écrit, coté 4
Q-B6-001;tri (production depuis mars 2025) - assistant du site (juillet 2026) - usages grand public de fait - un abandon;Relevé complet possible;23 systèmes - 4 en production décrits - 6 projets depuis 2025;Registre et séances;
Q-B6-002;1;Ni finalité ni limite écrites pour le module de tri;3;Finalité écrite (registre, AIPD) mais la limite clé de l'AIPD (rejet automatique) reste inappliquée;GC - limite écrite mais violée en pratique - non prévu par les ancres
Q-B6-003;1;Aucun bénéfice écrit avant mars 2025 - l'objectif de janvier 2026 est postérieur;3;Critères chiffrés écrits avant (recette du 14/09/2025) mais aucune mesure d'exploitation depuis;GC - le PV de recette est-il une -mesure postérieure- - retenu non, coté 3
Q-B6-004;1;Aucun coût ni risque écrit;3;Risques écrits (AIPD) mais postérieurs à la décision d'engagement et coûts absents;L'ancre 3 suppose coûts ET risques écrits - ici risques seuls, coté 3 quand même
Q-B6-005;2;La nature (classement par score) est connue mais aucune limite réellement formulée - calcul opaque;2;Nature connue mais aucun planificateur ne sait ce que l'outil prend en compte;Entre 1 et 3 des deux côtés - nature connue sans limites énoncées
Q-B6-006;assistant de rédaction arrêté en nov 2025 - motif qualité - coût 2 mois d'abonnement (factures produites);Relevé en séance 3;reconnaissance d'émotions arrêtée le 25/09/2025 avant déploiement - motif réglementaire tracé;Compte rendu du comité;
Q-B7-001;1;Aucun critère de priorisation;1;Aucun critère écrit de priorisation produit;GC coté 1 sur l'absence de pièce - NC défendable
Q-B7-002;1;Aucune liste de risques;3;Classement AI Act par système (avril 2026) sans méthode écrite de hiérarchisation entre risques;Le classement réglementaire par système tient-il lieu de classement des risques entre eux - coté 3
Q-B7-003;aucun;Aucune décision de traitement formulée;residuel_non_signe;Risque résiduel écrit à l'AIPD mais aucune fonction nommée ne l'a formellement accepté;GC - la conclusion d'AIPD vaut-elle acceptation signée - retenu non
Q-B7-004;1;Aucune réponse engagée;3;Réponses réelles (budget, recommandations du test d'usage détourné) mais sans trois risques de tête identifiés ni responsables nommés;La question suppose un classement des risques qui n'existe pas - coté 3 sur les réponses éparses
Q-B7-005;3;Un arrêt réel (nov 2025) mais aucun seuil ni échéance écrits;3;Principe de revue admis mais aucun seuil d'arrêt écrit - l'arrêt de 2025 est antérieur au déploiement;TPE - l'arrêt pratiqué sans cadre écrit n'entre dans aucune ancre
Q-B7-006;1;Calendrier inconnu;4;Arrêt tracé pour risque réglementaire (25/09/2025) et échéance du 02/12/2027 portée au registre - mais les échéances du 02/12/2026 ignorées;Un chantier arrêté pour -risque réglementaire- sans échéance datée citée - entre 3 et 5
Q-B7-007;aucun chantier formalisé - rien à relever;Constat;programme conformité 380 keur (120 consommés) et certification 42001 - charges non détaillées;Relevé partiel;
Q-B8-001;1;Aucune feuille de route;1;Aucun document de jalons, livrables et responsables produit - budget et mandat seuls;GC - un programme réel sans document de feuille de route - 1 sévère, l'ancre ne voit que le document
Q-B8-002;1;Aucun indicateur;3;Indicateurs suivis (taux de formation, budget consommé) mais jamais réexaminés;
Q-B8-003;1;Aucune AIPD ni examen - l'avis oral du consultant (2024) est antérieur au module - DRAPEAU ROUGE;3;AIPD exemplaire sur la présélection mais planification déployée avec AIPD en suspens et documentaire sans rien;TPE - l'avis oral vaut-il examen (ancre 3 plaidable). GC - une réussite et deux absences - l'ancre n'agrège pas
Q-B8-004;1;L'écart signalé en fév 2026 s'est simplement perdu;3;Tickets clos avec date mais aucune vérification d'efficacité - ancre 3 mot pour mot;
Q-B8-005;1;Aucun réexamen d'ensemble;3;Audit à blanc de mai 2026 (17 écarts) mais revue annuelle annoncée jamais tenue et décisions non consignées;L'audit à blanc commandé vaut-il réexamen de direction - coté 3
Q-B8-006;aucune;Aucune règle d'entrée fournisseur;regles_sans_controle;Catalogue groupe des assistants référencés (politique IA) mais aucune vérification avant signature démontrée;Le -catalogue groupe- est-il une exigence écrite propre à l'IA - contenu non produit
Q-B8-007;1;Aucune répartition écrite - contrat de maintenance muet sur l'IA;3;Seules les conditions générales - responsabilité en termes généraux sans distinguer l'IA;
Q-B8-008;1;Aucun plan - le seul retrait réel (nov 2025) réglé sans trace;1;Aucun plan de retrait écrit pour aucun des 23 systèmes;
Q-B8-009;1;Aucun chemin pour un retour externe;4;Courrier du donneur d'ordre (03/03/2026) parvenu et traité par réponse écrite mais aucune modification tracée;GC - le retour atteint le décideur sans modification - entre les ancres 3 et 5
Q-B8-010;absent_facultatif;Désignation non obligatoire (8 personnes, pas de grande échelle) et aucun délégué;designe_et_associe;DPD à temps plein depuis 2018, consulté sur l'AIPD du 09/01/2026 (moins de 12 mois);
Q-B9-001;liste construite en séance - module de tri, assistant du site, usages grand public - noté tel quel;Aucun registre préexistant;registre repris - 23 systèmes, propriétaires nommés;Registre du 11/07/2026;
Q-B9-002;02/09/2026 - liste établie pour l'audit, à signaler au rapport;Aucun registre préexistant;11/07/2026;Date portée dans l'outil;
Q-B9-003;1;Aucun registre - liste reconstituée en interrogeant;5;Registre à jour (11/07/2026), responsable par système, ayant servi une décision tracée (budget du 04/06/2026);GC - 4 systèmes -en cours de qualification- depuis 8 mois - à jour ou incomplet - coté 5, la complétude des rôles étant cotée à part
Q-B9-004;0;Aucun rôle écrit sur les systèmes relevés;83;19 systèmes sur 23 portent un rôle écrit;
Q-B9-005;jamais;Aucun examen - l'assistant du site sous marque de l'entreprise jamais questionné;ponctuel;Qualification faite une fois (avril 2026), 4 systèmes en attente - pas d'examen à chaque mise en service;GC - l'assistant documentaire affiné et sous marque groupe classé sans trancher la bascule fournisseur
Q-B9-006;0;Aucun classement de risque;48;11 classements écrits et datés sur 23 systèmes;GC - 47.8 pour cent - un système de plus ferait passer la note de 1 à 3 - borne posée exprès
Q-B9-007;non;Aucun examen des pratiques interdites - DRAPEAU ROUGE;non;Aucun examen écrit dédié - le classement partiel -en tient lieu- selon le juridique et les interdictions du 02/12/2026 ne figurent nulle part - DRAPEAU ROUGE;GC - un classement de risque partiel vaut-il examen - la consigne (réponse orale sans trace = non) a tranché
Q-B9-008;aucune;Assistant du site sous marque de l'entreprise sans aucune mention - constaté le 02/09/2026 - DRAPEAU ROUGE;systematique;Mention -Assistant automatisé- dès l'ouverture de la fenêtre, constatée le 25/08/2026;GC - mention en corps 10 gris clair - présence retenue ici, lisibilité renvoyée à B9-009 - découpage à confirmer
Q-B9-009;1;Information absente;3;Mention immédiate mais en corps 10 gris clair sur blanc - à peine distinguable;Aucune ancre ne vise la lisibilité graphique - coté 3 par assimilation
Q-B9-010;oui_sans_garantie;Candidatures sous 50 jamais ouvertes - écartement de fait sans intervention humaine ni garantie - DRAPEAU ROUGE;oui_sans_garantie;Rejet automatique sous 35 avec courriel type - la garantie prévue à l'AIPD n'est pas appliquée - DRAPEAU ROUGE;TPE - écartement de fait, non formel - la consigne (validation jamais refusée) a tranché. GC - garanties documentées mais inopérantes - option 3 plaidable
Q-B9-011;1;Régime de sanctions inconnu;3;Régime connu du juridique mais exposition jamais écrite ni rapprochée des systèmes devant la direction;
Q-B9-012;1;Ni l'échéance ni les obligations connues - le tri relève pourtant de l'annexe III;3;Echéance du 02/12/2027 portée au registre et système identifié mais aucun plan daté produit;GC - le programme de conformité budgété est-il le plan - contenu non produit, coté 3
