code;TPE_note;TPE_fondement;GC_note;GC_fondement;ancre_a_revoir
Q-B3-001;3;Registre RGPD de 06/2024 incomplet (module de tri absent) et non mis à jour depuis plus de 12 mois — ancre 3 mot pour mot;4;Registre revu le 30/06/2026 et utilisé (purge) mais une ligne inexacte — assistant doc décrit sans mention d'automatisation;GC: entre 3 (incomplet) et 5 (à jour et servi) — une seule ligne fausse rend-elle l'inventaire «incomplet» ?
Q-B3-002;Candidatures et CV dans le module de tri — CV copiés-collés dans un assistant grand public (compte personnel);relevé poids 0;40 000 documents techniques (assistant doc), base candidats (présélection), données d'intervention (planification);relevé poids 0;
Q-B3-003;Éditeur SaaS européen hébergé en Irlande (contrat 04/02/2025), assistant grand public sans contrat, prestataire du chatbot;relevé poids 0;Éditeur du modèle affiné établi hors UE (flux chiffré), prestataire du chatbot public — garanties de transfert non documentées;relevé poids 0;
Q-B3-004;Registre de 2024 muet sur les durées — aucune purge connue;relevé poids 0;Durées définies au registre — purge base candidats du 15/02/2026 journalisée;relevé poids 0;
Q-B3-005;1;Aucune mesure — les erreurs se découvrent en production (signalement de biais 02/2026);NC;Aucune mesure de qualité des données au dossier;
Q-B3-006;1;Aucune durée définie ni purge jamais réalisée — DRAPEAU ROUGE;5;Durées écrites et purge du 15/02/2026 (<12 mois) avec la fonction au journal;
Q-B3-007;1;Aucun circuit écrit ni responsable au dossier — DRAPEAU ROUGE;5;Dernière demande déroulée devant l'auditeur — 31 demandes, moyenne 19 jours, dans le mois;TPE: 1 déduit du silence du dossier. GC: un dépassement à 38 jours tracé n'empêche pas l'ancre 5 qui ne regarde que «la dernière demande» — voulu ?
Q-B3-008;2;Mentions révisées le 20/08/2025 APRÈS la mise en service mais muettes sur tout traitement automatisé;NC;Rien au dossier sur l'information effectivement délivrée aux candidats ou salariés;TPE: l'ancre 5 ne regarde que la date de révision, pas le contenu — une mention muette sur l'IA la satisfait à la lettre. Gros trou d'ancre.
Q-B3-009;1;CV versés tels quels sans examen;3;Un examen écrit existe (AIPD présélection) mais aucun retrait montrable — 40 000 documents versés bruts;
Q-B3-010;oui;CV collectés pour le recrutement versés dans un outil grand public sans examen écrit — DRAPEAU ROUGE;oui;40 000 documents versés pour l'affinage sans examen écrit de compatibilité (aucune saisine du DPO) — DRAPEAU ROUGE;GC: la question couvre-t-elle des documents techniques peu personnels ? Coté oui car des comptes rendus peuvent porter des noms.
Q-B3-011;non_verifie;La clause (art. 11.4) n'avait jamais été lue avant la séance et l'option du compte n'est pas vérifiée — DRAPEAU ROUGE;non_verifie;Rien au-delà des conditions générales — aucune lecture datée ni paramétrage vérifié — DRAPEAU ROUGE;TPE: clause lue EN séance avec l'auditeur — «jamais lue» ou «lue sans trace» ? L'option ne dit pas qui doit avoir lu. GC: dossier muet — 0 ou NC.
Q-B3-012;1;Aucune technique — CV bruts dans un outil grand public;1;Aucune technique visible — documents versés bruts pour l'affinage;GC: dossier muet sur la pseudonymisation — 1 déduit des versements bruts plutôt que NC.
Q-B3-013;1;Dernier outil (assistant du site, 07/2026) mis en service sans aucun examen;5;Dernier outil (présélection, 02/2026) — AIPD du 09/01/2026 antérieure et 2 mesures mises en œuvre;GC: la note bascule de 5 à 1 selon l'outil pris en référence (présélection vs assistant doc jamais examiné) — «le dernier outil» est une loterie.
Q-B3-014;oui;CV de production copiés dans un outil d'IA non anonymisés (<12 mois);oui;Assistant doc testé un mois par les équipes sur documents réels non anonymisés et comptes rendus copiés dans des assistants sur téléphone;«Outil d'IA d'essai» — un usage sauvage ou un test utilisateur entrent-ils dans le champ ? Et le test GC (09/2025) est à cheval sur la borne des 12 mois.
Q-B3-015;Examen jamais conduit — zéro ligne, le tri de candidatures est un candidat évident à l'art. 35;relevé poids 0;Présélection (AIPD faite), planification (AIPD en suspens), assistant doc jamais examiné;relevé poids 0;
Q-B4-001;1;Aucun document de spécification — module de tri comme assistant du site;1;Dernier outil (présélection) — aucun besoin écrit par le groupe, seule la recette de l'éditeur;GC: la recette éditeur non rejouée vaut-elle «besoin écrit» (→3) ? Et la planification (cahier de recette) aurait coté bien mieux — encore l'effet «dernier outil».
Q-B4-002;1;Aucun compte rendu d'essai avant la mise en service du tri;2;Dernier système (présélection) — recette éditeur fournie mais non rejouée par le groupe, alors que la planification aurait coté 5 (cahier du 14/09/2025 avec 12 critères et PV);GC: la note va de 2 à 5 selon le système de référence — l'ancre ne fixe pas lequel.
Q-B4-003;Module de tri SaaS, chatbot du site (prestataire), assistants grand public hors validation;relevé poids 0;23 systèmes au registre — 4 décrits en séance (assistant doc, planification, présélection, chatbot public);relevé poids 0;
Q-B4-004;Version inconnue — le score est recalculé aujourd'hui et l'éditeur n'a pas répondu;relevé poids 0;Registre d'actifs à jour au 11/07/2026 — versions non détaillées au dossier;relevé poids 0;
Q-B4-005;Jamais actionné — date vide, panne subie 04/2026;relevé poids 0;Aucun arrêt délibérément actionné — date vide, panne du 12/05/2026 gérée en mode dégradé;relevé poids 0;
Q-B4-006;1;Rien — score inexpliqué («modèle propriétaire») et le consultant ne sait pas dire;4;Réponse écrite du 27/03/2026 à une contestation réelle mais décrivant le fonctionnement général, pas la sortie;GC: une réponse générique remise vaut-elle «explication rédigée et remise» (→5) ? L'ancre ne dit pas ce que l'explication doit expliquer.
Q-B4-007;1;Aucun circuit — le signalement de 02/2026 s'est perdu sans trace;5;3 tickets catégorie IA sur 12 mois dont 2 clos — filtre passé devant l'auditeur;
Q-B4-008;1;Rien au dossier — ni circuit ni délai connus — DRAPEAU ROUGE;5;Notification réelle du 07/11/2025 (<24 mois), circuit écrit, délai tenu;TPE: 1 déduit du silence du dossier — la question à froid n'y a pas été posée.
Q-B4-009;4;Panne d'une journée (04/2026) surmontée en réel (mails et tableur) mais rien d'écrit avant ni après;5;Procédure écrite de 2 pages appliquée le 12/05/2026 avec retour d'expérience écrit;TPE: pratiqué sans écrit — l'ancre 5 n'exige pas l'écrit et l'ancre 3 décrit l'inverse exact (écrit jamais essayé). Trou entre les ancres.
Q-B4-010;1;Aucune liste — «tout le monde a le même accès» et identifiants partagés — DRAPEAU ROUGE;5;Revue du 28/05/2026 (<12 mois) avec 3 retraits dont 2 comptes de partants;
Q-B4-011;transit;Aucune vérification à l'écran — la règle du non-vérifié impose «en transit seulement»;transit;Vérifié à l'écran sauf le stockage source de l'assistant doc, non chiffré au repos;TPE: 3 par défaut alors que rien n'a été vérifié du tout — généreux. GC: aucune option entre «transit» et «complet» pour un chiffrement presque total avec une exception reconnue.
Q-B4-012;oui;Fichier partagé «acces divers» avec les identifiants de 6 services accessibles à toute l'équipe (17/04/2026) — DRAPEAU ROUGE;oui;Clé d'un service d'IA externe en clair dans un carnet de notes, toujours valide, jamais renouvelée depuis 08/2024 — DRAPEAU ROUGE;TPE: des identifiants de connexion sont-ils des «clés d'accès» ? Assimilés ici — à préciser dans la question.
Q-B4-013;NA;Aucune intégration — pas de développement, outils SaaS uniquement;1;Modèle du marché affiné sur 40 000 documents sans trace de vérification (provenance, licence);TPE: NA ou 1 ? L'ancre ne prévoit pas l'entreprise qui n'intègre rien.
Q-B4-014;2;Remontée tentée — date et utilisateur retrouvés mais le score de l'époque est perdu (recalculé);4;22 minutes devant l'auditeur sur la planification mais impossible sur l'assistant doc (échanges non conservés);TPE: la remontée partielle n'a pas d'ancre. GC: deux systèmes aux résultats opposés — la question ne dit pas lequel fait foi.
Q-B4-015;1;Aucun suivi — le sujet fait sourire;1;Aucune mesure ni estimation (dossier explicite);
Q-B5-001;aucune;Aucune mesure de littératie — la prise en main éditeur (03/2025) portait sur l'usage du logiciel, pas sur ses limites — DRAPEAU ROUGE;mesures_suivies;Module obligatoire pour les 210 utilisateurs depuis le 02/03/2026 et session comité exécutif du 19/06/2026 — <18 mois, instances comprises;TPE: la session de prise en main vaut-elle «mesure» art. 4 ? GC: l'option 5 ne regarde pas l'effectivité — 0 planificateur formé sur 4 et trois ignoraient le module.
Q-B5-002;1;Aucun examen des compétences nécessaires;4;Référentiel écrit (04/2026) mais l'écart avec l'existant n'est pas mesuré — au-delà de 3, en deçà de 5;
Q-B5-003;0;Aucune formation à l'IA prévue ni suivie — 0 %;85;178 formés sur 210 utilisateurs identifiés — 85 %;TPE: 0 % ou NA quand aucune formation n'est prévue ? Et si la prise en main éditeur comptait (6/7 = 86 %) la note s'inverserait. GC: le dénominateur officiel (210) exclut des utilisateurs réels (planificateurs, techniciens).
Q-B5-004;4;Un consultant cite un mode d'échec propre (candidats de plus de 50 ans mal classés) mais ne sait pas ce qu'il doit vérifier;3;Les planificateurs corrigent tous les jours mais aucun ne sait dire les critères ni verbaliser une limite;TPE: la note dépend de l'utilisateur interrogé (de 1 à 5 selon la personne). GC: corriger quotidiennement est-il «citer un mode d'échec» ?
Q-B5-005;1;Personne n'est désignée pour superviser le module de tri;3;Planificateurs compétents mais mandat non écrit (fiche de poste sans citer l'outil) et une agence n'ose plus toucher;GC: la fiche de poste générique vaut-elle mandat écrit ? Et la peur de modifier (4e agence) n'est vue par aucune ancre.
Q-B5-006;Aucun rôle dédié — direction et prestataire informatique de 2 personnes (maintenance sans mention IA);relevé poids 0;Comité IA (5 directions), DPO à temps plein, direction juridique sur les classements;relevé poids 0;
Q-B5-007;aucun;Aucun chemin hors hiérarchie — 8 personnes, tout passe par la réunion d'équipe;connu_et_couvrant;Outil de tickets groupe avec catégorie IA, connu et utilisé (3 tickets);
Q-B5-008;aucune;Aucune règle écrite;regles_connues;Note du 11/04/2026 diffusée à tous et citée de mémoire par 2 techniciens sur 4;GC: 2 sur 4 seulement — l'option 5 ne fixe aucune proportion de salariés qui doivent citer les règles.
Q-B5-009;1;Aucune règle donc aucun contrôle;2;Aucun contrôle organisé — le filtrage réseau est troué (1 service sur 3 accessible), jamais vérifié, aucun écart traité;GC: un filtrage technique permanent est-il un «contrôle exercé» ? Entre 1 et 3.
Q-B5-010;1;Le signalement de 02/2026 s'est perdu;3;Les remarques remontent (tickets, chef d'agence) mais aucune modification n'en est jamais sortie;
Q-B5-011;1;Sujet jamais ouvert;4;Note écrite du 20/05/2026 mais représentants du personnel non associés et aucune mesure d'accompagnement;
Q-B6-001;Tri (production 03/2025), chatbot du site (07/2026), assistants grand public sauvages, rédaction abandonnée 11/2025;relevé poids 0;23 systèmes, 6 projets depuis 2025, 4 décrits en séance;relevé poids 0;
Q-B6-002;1;Ni finalité ni limite écrites;3;Finalité écrite (registre, recette) mais aucune limite d'emploi propre au cas;GC: les 3 interdits généraux du groupe valent-ils «limites d'emploi» du cas d'usage ?
Q-B6-003;1;Rien d'écrit avant le lancement du tri — l'objectif «5 jours» date de 01/2026, postérieur;3;12 critères d'acceptation chiffrés écrits avant (14/09/2025) mais aucune mesure depuis;GC: des critères de recette sont-ils des «bénéfices attendus» ? Assimilés pour coter 3.
Q-B6-004;1;Aucun coût ni risque écrit;2;Risques écrits (AIPD du 09/01/2026) mais les coûts du cas n'ont jamais été écrits avec eux;GC: l'ancre suppose coûts ET risques ensemble — des risques sans coûts ne sont pas prévus.
Q-B6-005;2;La nature (classement, score) est comprise en gros mais aucune limite énoncée — le calcul est opaque;3;Nature écrite au registre (finalités) mais limites de connaissance jamais écrites;
Q-B6-006;Rédaction d'annonces abandonnée 11/2025 (qualité) — coût retrouvé en factures pendant la séance;relevé poids 0;Reconnaissance d'émotions arrêtée le 25/09/2025 avant déploiement (risque réglementaire);relevé poids 0;
Q-B7-001;1;Aucun critère — l'ordre suit les occasions;2;Des arbitrages tracés (comité) mais aucun critère de priorisation écrit;GC: entre 1 (aucun critère) et 3 (critères écrits) — la gouvernance qui arbitre sans critères écrits n'est pas prévue.
Q-B7-002;1;Aucune liste de risques;3;Classement réglementaire écrit (04/2026) mais ni hiérarchisation impact-vraisemblance ni méthode écrite;GC: un classement AI Act est-il un «classement des risques entre eux» ?
Q-B7-003;aucun;Aucune décision de traitement formulée;residuel_non_signe;Risque résiduel écrit (AIPD) mais aucune fonction n'a formellement signé l'acceptation;
Q-B7-004;1;Aucun risque identifié donc aucune réponse engagée;3;Réponses engagées (budget conformité, mesures AIPD) mais sans responsable nommé ni échéance par risque;TPE: sans liste de risques en amont, 1 ou NA ?
Q-B7-005;2;Un arrêt a été pratiqué (11/2025) sans qu'aucun seuil ni principe ne soit posé;3;Le réexamen existe en pratique (comité) mais aucun seuil d'arrêt ni échéance écrits;TPE: l'arrêt de fait sans cadre n'est ni l'ancre 1 (question jamais posée) ni la 3.
Q-B7-006;1;Calendrier inconnu et ne pèse sur rien;4;Échéance du 02/12/2027 écrite au registre et budget conformité tracé (04/06/2026) mais lien chantier-échéance implicite et interdictions du 02/12/2026 ignorées;GC: le programme de conformité vaut-il «chantier avancé en raison d'une échéance» (vers 5) ?
Q-B7-007;Aucun chantier formalisé — rien à relever;relevé poids 0;Programme conformité 380 k€ (120 k consommés), certification ISO 42001 engagée — charges en jours non relevées;relevé poids 0;
Q-B8-001;1;Aucune feuille de route écrite;3;Programme de conformité budgété et suivi mais jalons, livrables et responsables par étape non vus;GC: un budget suivi sans jalons écrits — entre 1 et 3, coté 3 par la trace du comité.
Q-B8-002;1;Aucun indicateur;3;Des indicateurs suivis (consommation budget, taux de formation) mais jamais réexaminés;
Q-B8-003;1;Aucune AIPD et le besoin jamais examiné par écrit — l'avis oral du consultant externe (2024) est antérieur à l'outil — DRAPEAU ROUGE;4;AIPD présélection avant mise en service avec mesures appliquées (vaut 5) mais AIPD planification en suspens depuis 10/2025 (vaut 3);TPE: l'avis oral «pas concernés» est-il un «examen» (vers 3) ? Non retenu car antérieur à l'IA. GC: deux systèmes, deux notes — la question ne dit pas lequel fait foi.
Q-B8-004;1;Aucun suivi — le signalement s'est perdu;3;Tickets clos sans vérification d'efficacité — ancre 3 mot pour mot;
Q-B8-005;1;Aucun réexamen d'ensemble n'a jamais eu lieu;4;Comité trimestriel avec décisions consignées (04/06/2026) et audit à blanc 05/2026 — mais la revue annuelle de la politique jamais tenue;GC: le comité IA est-il la «revue de direction du dispositif» que la guidance interdit de recoter depuis le bloc 1 ? Note instable de 3 à 5.
Q-B8-006;aucune;Aucune règle — chaque souscription s'est faite au fil de l'eau;regles_sans_controle;Catalogue groupe référencé dans la politique mais aucune vérification avant signature montrée;GC: l'arrêt de la reconnaissance d'émotions vaut-il «fournisseur écarté à ce titre» (vers 5) ? Non retenu — motif réglementaire, pas règle d'achat.
Q-B8-007;2;Clauses de sous-traitance vues mais la responsabilité en cas de dommage jamais examinée — rien de propre à l'IA;3;Rien au-delà des conditions générales pour le modèle affiné — termes généraux;TPE: entre 1 (rien d'écrit) et 3 (termes généraux) — le contrat existe mais n'a pas été lu sous cet angle.
Q-B8-008;1;Retrait de l'assistant (11/2025) réglé dans l'urgence — aucune copie des données côté entreprise;1;Aucun plan de retrait écrit pour aucun des 23 systèmes (dossier explicite);
Q-B8-009;1;Aucun chemin identifié pour un retour externe;4;Courrier du donneur d'ordre (03/03/2026) traité et répondu en central mais aucune modification;GC: parvenu au décideur sans modification — entre l'ancre 3 (n'atteint pas) et la 5 (modifie).
Q-B8-010;absent_facultatif;Aucun DPO et désignation non obligatoire — 8 personnes, pas de grande échelle;designe_et_associe;DPO à temps plein depuis 2018, consulté sur la présélection (AIPD du 09/01/2026 — moins de 12 mois);TPE: «grande échelle» pour un cabinet de recrutement — tranché non obligatoire, à sécuriser juridiquement.
Q-B9-001;Aucun registre — liste construite en séance: tri, chatbot du site, assistants grand public;relevé poids 0;Registre repris — 23 systèmes, mise à jour 11/07/2026, propriétaires nommés;relevé poids 0;
Q-B9-002;Aucun registre — date vide;relevé poids 0;11/07/2026 — vue dans l'outil de gestion des actifs;relevé poids 0;
Q-B9-003;1;Aucun registre — la liste se reconstitue en interrogeant;5;À jour (11/07/2026), responsable par ligne, a servi au budget du 04/06/2026 (décision tracée au compte rendu);GC: des usages hors registre existent (service non bloqué, mobiles) — l'ancre 5 ne teste pas la complétude.
Q-B9-004;0;Aucun rôle écrit — 0 sur les 3 systèmes relevés;83;19 sur 23 = 83 % — bande 3 (inférieur à 90);
Q-B9-005;jamais;Jamais examiné — alors que le chatbot est diffusé sous le nom de l'entreprise;ponctuel;Rôles attribués une fois (avril 2026), aucun examen tracé à chaque mise en service;GC: l'assistant doc affiné et sous marque groupe est classé sans que la bascule soit tracée — l'option «ponctuel» masque une possible erreur de fond.
Q-B9-006;0;Aucun classement de risque;48;11 sur 23 = 48 % — bande 1 (inférieur à 50);
Q-B9-007;non;Sujet jamais ouvert — DRAPEAU ROUGE;non;Aucun examen écrit — la juridique renvoie au classement (réponse sans trace dédiée) et les interdictions du 02/12/2026 ne sont mentionnées nulle part — DRAPEAU ROUGE;GC: le classement écrit d'avril 2026 vaut-il examen partiel de l'art. 5 ? Coté non sur la lettre de la guidance (écrit dédié exigé).
Q-B9-008;aucune;Chatbot sous marque sans aucune mention machine — constat à l'écran du 02/09/2026 — DRAPEAU ROUGE;systematique;Mention «Assistant automatisé» en tête de fenêtre dès la première interaction, constatée à l'écran;GC: corps 10 gris clair sur blanc — la lisibilité est renvoyée à B9-009 mais un 5 ici étonne.
Q-B9-009;1;Information absente;3;Présente dès la première interaction mais peu distinguable — corps 10 gris clair sur fond blanc;GC: le défaut constaté (contraste, accessibilité) n'est décrit par aucune ancre — la 3 vise le moment ou le vocabulaire.
Q-B9-010;oui_sans_garantie;Rejet de fait sans humain — aucune candidature sous 50 jamais ouverte, aucun refus humain citable — DRAPEAU ROUGE;oui_sans_garantie;Rejet automatique sous le seuil 35 avec courriel type — la garantie prévue par l'AIPD n'est pas mise en œuvre — DRAPEAU ROUGE;TPE: la direction affirme le contraire des faits — coter la pratique et non le discours ? GC: garanties documentées mais inappliquées — 0 ou 3, l'option ne tranche pas ce cas.
Q-B9-011;1;Régime de sanctions inconnu;3;Régime connu de la direction juridique mais aucune exposition écrite rattachée aux systèmes;
Q-B9-012;1;Ni échéance ni obligations connues;3;Échéance et système identifiés au registre mais sans plan détaillé par obligation;GC: le programme de conformité budgété pourrait valoir «plan daté» (vers 4-5) — contenu non produit.
